"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,-1.343999982E0,1.848000050E0,1.379500008E1,1.398297062E1
0.000000000E0,-1.343999982E0,1.848000050E0,1.379500008E1,1.398297062E1
0.000000000E0,-1.343999982E0,1.848000050E0,1.379500008E1,1.398297062E1
0.000000000E0,-1.343999982E0,1.848000050E0,1.379500008E1,1.398297062E1
0.000000000E0,-1.343999982E0,1.848000050E0,1.379500008E1,1.398297062E1
0.000000000E0,-1.343999982E0,1.848000050E0,1.379500008E1,1.398297062E1
0.000000000E0,-1.343999982E0,1.848000050E0,1.379500008E1,1.398297062E1
0.000000000E0,-1.343999982E0,1.848000050E0,1.379500008E1,1.398297062E1
0.000000000E0,-1.343999982E0,1.848000050E0,1.379500008E1,1.398297062E1
2.379077000E-3,-1.343999982E0,1.848000050E0,1.379500008E1,1.398297062E1
7.379077000E-3,-1.343999982E0,1.848000050E0,1.379500008E1,1.398297062E1
1.237907700E-2,-1.343999982E0,1.848000050E0,1.379500008E1,1.398297062E1
1.836938500E-2,-1.343999982E0,1.848000050E0,1.379500008E1,1.398297062E1
2.336807700E-2,-1.343999982E0,1.848000050E0,1.379500008E1,1.398297062E1
2.849507700E-2,-1.343999982E0,1.848000050E0,1.379500008E1,1.398297062E1
3.338838500E-2,-1.343999982E0,1.848000050E0,1.379500008E1,1.398297062E1
3.836330800E-2,-1.960000038E0,1.654000044E0,8.284999847E0,8.672862202E0
4.338392300E-2,-1.746000051E0,1.713000059E0,8.024999619E0,8.389487723E0
4.850400000E-2,-1.508999944E0,1.794000030E0,7.954999924E0,8.293222578E0
5.338653900E-2,-1.276999950E0,1.861999989E0,7.938000202E0,8.252855266E0
5.837053900E-2,-1.097000003E0,1.889000058E0,8.003999710E0,8.296730777E0
6.343323100E-2,-9.879999757E-1,1.850000024E0,8.163000107E0,8.428120478E0
6.841200000E-2,-9.169999957E-1,1.774999976E0,8.383999825E0,8.618756695E0
7.339207700E-2,-8.199999928E-1,1.708999991E0,8.605999947E0,8.812282113E0
7.843592300E-2,-7.089999914E-1,1.646999955E0,8.819000244E0,8.999447491E0
8.347253900E-2,-6.060000062E-1,1.595999956E0,9.019000053E0,9.179151041E0
8.873769200E-2,-4.979999959E-1,1.555999994E0,9.213000298E0,9.356736315E0
9.380607700E-2,-3.930000067E-1,1.521000028E0,9.411000252E0,9.541216685E0
9.914115400E-2,-2.890000045E-1,1.519999981E0,9.555000305E0,9.679460304E0
1.041205390E-1,-1.870000064E-1,1.552999973E0,9.595999718E0,9.722653367E0
1.094390770E-1,-1.340000033E-1,1.613999963E0,9.508000374E0,9.644948055E0
1.134344620E-1,-1.870000064E-1,1.679999948E0,9.340000153E0,9.491731753E0
1.184076150E-1,-3.249999881E-1,1.702999949E0,9.140999794E0,9.303962116E0
1.234118460E-1,-4.769999981E-1,1.690000057E0,8.918999672E0,9.090224658E0
1.284082310E-1,-6.290000081E-1,1.672000051E0,8.699000359E0,8.880531089E0
1.334143850E-1,-7.730000019E-1,1.675999999E0,8.510999680E0,8.708824292E0
1.384109230E-1,-8.750000000E-1,1.722000003E0,8.371000290E0,8.590957738E0
1.439885390E-1,-9.259999990E-1,1.796000004E0,8.279999733E0,8.522997571E0
1.486274620E-1,-9.559999704E-1,1.850999951E0,8.217000008E0,8.476982122E0
1.535014620E-1,-9.760000110E-1,1.863000035E0,8.180000305E0,8.446049381E0
1.584440770E-1,-9.750000238E-1,1.850999951E0,8.180999756E0,8.444263311E0
1.634733850E-1,-9.499999881E-1,1.817999959E0,8.175999641E0,8.429388706E0
1.684411540E-1,-9.070000052E-1,1.797999978E0,8.164999962E0,8.409677598E0
1.734285390E-1,-8.510000110E-1,1.799999952E0,8.182000160E0,8.420767629E0
1.784922310E-1,-7.620000243E-1,1.796000004E0,8.227000237E0,8.455163685E0
1.845894620E-1,-6.100000143E-1,1.784000039E0,8.305000305E0,8.516324690E0
1.886569230E-1,-5.680000186E-1,1.789000034E0,8.340999603E0,8.549585927E0
1.936214620E-1,-4.950000048E-1,1.805999994E0,8.411999702E0,8.617911579E0
2.007360770E-1,-3.889999986E-1,1.847000003E0,8.473999977E0,8.681670670E0
2.034413080E-1,-3.600000143E-1,1.868000031E0,8.480999947E0,8.691742301E0
2.083934620E-1,-3.389999866E-1,1.921000004E0,8.454000473E0,8.676133125E0
2.134013850E-1,-3.470000029E-1,1.976999998E0,8.383000374E0,8.619955526E0
2.185476920E-1,-3.510000110E-1,1.990000010E0,8.302000046E0,8.544384460E0
2.234280000E-1,-3.389999866E-1,1.980999947E0,8.232000351E0,8.473789681E0
2.284425390E-1,-3.100000024E-1,1.993999958E0,8.211999893E0,8.456304044E0
2.334674620E-1,-2.649999857E-1,2.026999950E0,8.255999565E0,8.505320841E0
2.385826920E-1,-2.269999981E-1,2.076999903E0,8.309000015E0,8.567668227E0
2.434603850E-1,-2.049999982E-1,2.134999990E0,8.343999863E0,8.615252966E0
2.484442310E-1,-2.039999962E-1,2.187000036E0,8.375000000E0,8.658245212E0
2.534326150E-1,-2.049999982E-1,2.230000019E0,8.404999733E0,8.698215081E0
2.584313080E-1,-2.150000036E-1,2.255000114E0,8.449000359E0,8.747391473E0
2.635050770E-1,-2.579999864E-1,2.263000011E0,8.489999771E0,8.790212122E0
2.685860000E-1,-3.289999962E-1,2.282000065E0,8.517000198E0,8.823551307E0
2.734590770E-1,-3.950000107E-1,2.302999973E0,8.553999901E0,8.867398051E0
2.784170000E-1,-4.149999917E-1,2.303999901E0,8.586999893E0,8.900404918E0
2.834310770E-1,-4.020000100E-1,2.315000057E0,8.560000420E0,8.876623032E0
2.884880000E-1,-3.810000122E-1,2.377000093E0,8.505000114E0,8.839135557E0
2.934644620E-1,-3.659999967E-1,2.451999903E0,8.465999603E0,8.821530978E0
2.994651540E-1,-3.619999886E-1,2.503999949E0,8.432999611E0,8.804347913E0
3.033893850E-1,-3.589999974E-1,2.540999889E0,8.437999725E0,8.819603211E0
3.084784620E-1,-3.379999995E-1,2.578000069E0,8.515000343E0,8.903120756E0
3.156836920E-1,-3.100000024E-1,2.608999968E0,8.630000114E0,9.021079914E0
3.184193850E-1,-3.009999990E-1,2.621000051E0,8.680999756E0,9.073036924E0
3.234386150E-1,-2.949999869E-1,2.642999887E0,8.793999672E0,9.187322985E0
3.284805390E-1,-3.070000112E-1,2.667000055E0,8.935999870E0,9.330553680E0
3.335963850E-1,-3.109999895E-1,2.713000059E0,9.105999947E0,9.506646377E0
3.384293850E-1,-3.260000050E-1,2.782000065E0,9.255999565E0,9.670539195E0
3.434275390E-1,-3.910000026E-1,2.835999966E0,9.368000031E0,9.795672584E0
3.484385390E-1,-5.109999776E-1,2.858000040E0,9.456000328E0,9.891674651E0
3.535740770E-1,-6.650000215E-1,2.881000042E0,9.494999886E0,9.944717648E0
3.586819230E-1,-8.360000253E-1,2.921000004E0,9.482999802E0,9.957832209E0
3.646080770E-1,-1.113999963E0,2.997999907E0,9.430999756E0,9.958551890E0
3.684282310E-1,-1.200000048E0,3.022000074E0,9.395999908E0,9.942700782E0
3.734423850E-1,-1.343000054E0,3.049000025E0,9.305000305E0,9.883475147E0
3.784210770E-1,-1.399999976E0,3.066999912E0,9.206999779E0,9.804862739E0
3.834968460E-1,-1.373999953E0,3.098999977E0,9.123000145E0,9.732461578E0
3.883912310E-1,-1.312000036E0,3.145999908E0,9.052000046E0,9.672505588E0
3.934380770E-1,-1.243000031E0,3.207999945E0,8.998000145E0,9.633292237E0
3.984334620E-1,-1.205000043E0,3.293999910E0,8.939999580E0,9.603439645E0
4.035041540E-1,-1.203999996E0,3.401000023E0,8.859999657E0,9.566400110E0
4.084393080E-1,-1.233999968E0,3.502000093E0,8.781999588E0,9.534688109E0
4.158206150E-1,-1.368999958E0,3.555999994E0,8.701999664E0,9.499689206E0
4.184230770E-1,-1.429999948E0,3.556999922E0,8.680999756E0,9.489831666E0
4.234241540E-1,-1.529000044E0,3.555000067E0,8.656999588E0,9.482589756E0
4.284727690E-1,-1.595999956E0,3.523999929E0,8.701999664E0,9.523160690E0
