"Month","Nuclear","Hydro Run-of-River","Biomass","Fossil brown coal / lignite","Fossil coal-derived gas","Fossil hard coal","Fossil oil","Fossil gas","Geothermal","Hydro water reservoir","Others","Waste renewable","Waste non-renewable","Wind offshore","Wind onshore","Solar"
"01.2015",8435.9,1550.4,3626.9,12617.7,0,8430,406.3,5367.1,7.6,35.3,1428.5,423.1,516.8,264,9417.6,621.4
"02.2015",7710.8,1161.3,3294.9,12025,0,10393.6,453.5,6165.9,7.7,22.8,1547.1,378.7,462.5,285.5,5188.3,1522.2
"03.2015",7526.3,1380.6,3592.9,13024.7,25.5,9656.7,475.1,5199,6.2,26.6,1449.5,368,449.4,435.5,6800.4,3173.8
"04.2015",7053.8,1644.2,3482.7,10911.5,0,7913.9,452.6,3240.2,7.8,48.2,1166,424,518,378.4,4818.1,4924.5
"05.2015",7126.9,2004.6,3571.2,9549.4,0,5653,445.4,3307.7,9.7,72.6,983.1,418.3,510.9,568.6,4854.1,4898.1
"06.2015",6431.6,1957.7,3338.9,10464.1,0,7632.4,435.2,2994.9,6.8,90.4,1128.9,401.9,491,480.4,3692.6,5054.9
"07.2015",5231.3,1788.8,3359,11797.2,0,8186.1,451.6,4337,7.6,99.2,1121.1,375.2,458.3,710.5,5242.3,5459.8
"08.2015",7274.2,1598,3357.3,12498,0,8476.3,444.7,3259.5,4.4,51.3,821.5,384.2,469.2,574.7,3323.7,5121.3
"09.2015",7497.8,1409.9,3394.5,13096.3,256.1,10225.1,453.4,3358.5,6.2,57.2,1056.5,449.6,549.2,768,4828.3,3582.4
"10.2015",6897.3,1311.6,3580.2,13724.8,348.4,12836.6,469.1,6716.2,8.1,43.2,1086.2,480.1,586.5,890.8,3134.9,2161
"11.2015",7677.2,1076,3501.5,11832.7,282.8,9378.7,484,7259.9,8.6,30.5,964.4,456.8,558,1299.5,9368.1,1261.8
"12.2015",7902,1173.7,4128.3,11503.2,263.7,8220.5,460.6,6917.5,10.2,31.3,852.9,423.4,517.2,1506.3,10253.6,944.8
"01.2016",7793.6,1041.8,3681.5,12486.5,280.9,10240.2,435.1,7974.1,13.8,47.5,1147.2,416.7,515.1,1384.6,8155,721.7
"02.2016",7200.9,1215.5,3516.4,11256,237.2,8303.1,406.8,5470,12.4,47.3,1027.9,418.8,517.7,1155.8,8872.2,1386.7
"03.2016",7677.8,1456.9,3767.8,11717.1,282.7,9939.1,441.3,4896.3,16.9,66.1,1432.3,456.3,564.1,854,5278.5,2662.9
"04.2016",5107.2,1746.2,3590.5,11401.3,346,8458.5,267,3667.9,13.8,68.9,962,389.9,482,886.7,5173.6,4138.1
"05.2016",4857.3,2040.7,3612.5,10676.3,355.5,6774.9,378.5,3860,12.9,62.5,904.3,398.8,493,939,5277.5,5202.8
"06.2016",5957.3,2078.2,3384.1,10169,325.9,8463.6,466.1,3622.4,12.7,57.1,890.6,441.3,545.6,563.7,2838.3,5229.9
"07.2016",6121.3,2240.8,3448.5,11284,287.3,7460.2,466.1,3741.8,9.6,90.7,896.6,473,584.7,797.4,3993.7,5452.1
"08.2016",7001,2137.6,3498.6,11183.2,340.6,6876,467.9,5755.8,12.7,127.2,850.5,446,551.4,878,3970.5,5206.3
"09.2016",6827.9,1687.2,3374.8,11684.8,361,8365.4,382.5,7723.5,11.4,82.4,1057.6,483.3,597.5,712.9,3566.5,4245
"10.2016",7801.2,1270.2,3596,12522.3,343.4,8983,483.5,8866.6,15.5,55.5,1575.4,434.6,537.3,1303.4,4409.9,1852.8
"11.2016",7405,1274.2,3538.8,12259.1,329.2,9517.1,424.5,8527.5,15.9,51,1507.1,381.3,471.4,1317.9,6794.1,1126.1
"12.2016",6287.6,1206.2,3802,11756.8,303.5,9350.9,482,10200.5,16.5,63.1,1444.8,445.7,551,1298.7,7994.3,873.5
"01.2017",5722.5,1060.3,3763.2,12413.9,359.9,12243.1,550.3,11579.1,14.5,37.7,1726.7,356.9,436.8,1229.1,6609.7,876.7
"02.2017",4537.2,1111.5,3519.1,11165.1,220,9015.5,380.1,7824,14.3,34.2,1423.9,386.5,473,1901,8095.2,1630.5
"03.2017",4853.4,1546.6,3801.6,12265.9,307.2,7566,390.1,6812.5,12.7,43.1,1288.1,451.9,553,1488.3,7934.5,3547.3
"04.2017",4759.1,1428.5,3638.8,11575.3,325.9,5867,364.5,5543.3,13.3,51.2,894.6,482.1,590,1398.1,6809.8,4235
"05.2017",5649.5,1895.9,3650.4,11571.6,313.8,6989,389.4,5514.9,11.2,45.2,949.6,454.2,555.9,1203.2,4457.3,5622.3
"06.2017",6345.6,1857.5,3416.7,10755.8,315.7,4906.1,377.4,5138.5,10.5,66,839.8,416.2,509.3,1247.8,5937.4,5893
"07.2017",5341,1871.9,3490.3,11012.5,336.1,5781.4,396.1,6761.1,10.9,64.7,1106.2,420.7,514.8,933,4606.3,5365.4
"08.2017",7088,1904.7,3494.1,11903.8,343.1,5157.2,402.5,3890.5,12.4,71.8,857.9,407.3,498.5,1125.7,4439.3,5054
"09.2017",6383.2,1857.9,3183.2,11135.2,301.1,7424.2,398.6,5084.5,13.9,55.5,1052.6,482.5,590.4,1010.3,5380.5,3381.2
"10.2017",7345.6,1606,3494.9,10954.3,343.6,5470.7,406.6,5852.1,13.9,49.8,984.7,450.3,551.1,2211.6,10451.2,2339.2
"11.2017",6900,1625.8,3621.3,11864.9,267.1,8057.5,403.7,8390.5,12.9,46.2,1327.6,478.2,585.2,1641.8,8762.2,912.5
"12.2017",7230,1611.8,3809.6,10746.7,334,6240.1,387.9,7041.3,16.5,41.4,1186.9,465.9,570.1,2024.1,12809.5,544
"01.2018",6699.7,1505.6,3780.5,11687.4,341,5430.6,233.3,7056.3,13.2,47.2,1604.8,446.4,512,1892.8,12421,769.4
"02.2018",6095.4,1270.5,3428.5,11767.9,321.8,8480.3,232.4,8851.6,13,39.8,1016.4,380.2,436,1548.3,6355.4,1928.9
"03.2018",6187.4,1221.6,3637.5,11884.4,316,8278,225.1,7214.4,11.1,38.9,1222.5,384.9,441.4,1625.7,8932.5,2849.3
"04.2018",5176.6,1565.2,3384.9,10713.8,303.5,4379.7,269.2,3876.9,10.9,43.1,1477.8,422.3,484.3,1601.4,7292,5097.1
"05.2018",4875.5,1833.2,3537.9,10709.3,355.2,3986.1,238.5,3658.7,10.9,47.3,962.6,405.1,464.6,1308.3,5845.4,6250.3
