date,listeners,streams,followers
2022-01-01,5,10,110
2022-01-02,7,18,110
2022-01-03,4,4,110
2022-01-04,6,16,110
2022-01-05,6,10,110
2022-01-06,4,4,110
2022-01-07,5,5,110
2022-01-08,7,7,110
2022-01-09,5,7,110
2022-01-10,3,3,110
2022-01-11,2,2,110
2022-01-12,3,4,110
2022-01-13,4,4,110
2022-01-14,8,18,110
2022-01-15,8,8,110
2022-01-16,7,7,110
2022-01-17,9,10,110
2022-01-18,7,17,110
2022-01-19,4,12,110
2022-01-20,3,9,110
2022-01-21,5,9,110
2022-01-22,3,6,110
2022-01-23,8,8,110
2022-01-24,3,3,110
2022-01-25,4,5,110
2022-01-26,8,8,110
2022-01-27,5,5,110
2022-01-28,9,10,110
2022-01-29,1,1,110
2022-01-30,2,2,110
2022-01-31,4,4,110
2022-02-01,4,5,110
2022-02-02,5,5,110
2022-02-03,4,4,110
2022-02-04,4,14,110
2022-02-05,6,6,111
2022-02-06,5,11,111
2022-02-07,9,26,111
2022-02-08,4,31,111
2022-02-09,6,14,111
2022-02-10,6,8,111
2022-02-11,6,9,111
2022-02-12,7,13,116
2022-02-13,1,1,116
2022-02-14,5,6,116
2022-02-15,3,3,116
2022-02-16,3,7,116
2022-02-17,4,4,116
2022-02-18,7,7,116
2022-02-19,4,4,116
2022-02-20,3,3,116
2022-02-21,7,10,116
2022-02-22,7,7,116
2022-02-23,4,4,116
2022-02-24,5,6,116
2022-02-25,7,7,116
2022-02-26,4,4,117
2022-02-27,3,3,117
2022-02-28,5,8,117
2022-03-01,4,4,117
2022-03-02,3,4,118
2022-03-03,7,13,118
2022-03-04,4,5,118
2022-03-05,5,6,119
2022-03-06,7,17,119
2022-03-07,5,5,119
2022-03-08,1,1,119
2022-03-09,8,13,119
2022-03-10,3,3,119
2022-03-11,3,4,119
2022-03-12,8,12,119
2022-03-13,3,3,119
2022-03-14,2,2,120
2022-03-15,6,14,120
2022-03-16,6,22,121
2022-03-17,17,45,122
2022-03-18,76,412,125
2022-03-19,31,223,128
2022-03-20,29,148,129
2022-03-21,35,263,129
2022-03-22,27,154,129
2022-03-23,31,219,129
2022-03-24,33,121,129
2022-03-25,31,54,130
2022-03-26,26,88,130
2022-03-27,24,63,130
2022-03-28,27,99,132
2022-03-29,20,132,132
2022-03-30,20,48,133
2022-03-31,25,98,133
2022-04-01,29,44,133
2022-04-02,23,34,133
2022-04-03,10,60,133
2022-04-04,19,70,133
2022-04-05,11,13,133
2022-04-06,12,17,133
2022-04-07,9,10,134
2022-04-08,45,180,135
2022-04-09,44,54,137
2022-04-10,28,130,137
2022-04-11,37,58,137
2022-04-12,40,55,138
2022-04-13,32,141,138
2022-04-14,32,39,138
2022-04-15,10,13,139
2022-04-16,13,33,139
2022-04-17,8,10,139
2022-04-18,9,9,139
2022-04-19,10,14,140
2022-04-20,14,18,140
2022-04-21,9,11,140
2022-04-22,15,16,140
2022-04-23,4,4,140
2022-04-24,5,5,140
2022-04-25,7,10,140
2022-04-26,9,10,140
2022-04-27,10,13,140
2022-04-28,11,20,140
2022-04-29,20,28,140
2022-04-30,7,11,140
2022-05-01,12,16,140
2022-05-02,9,12,140
2022-05-03,16,31,141
2022-05-04,23,61,144
2022-05-05,21,41,144
2022-05-06,46,90,146
2022-05-07,27,75,146
2022-05-08,18,53,147
2022-05-09,27,59,148
2022-05-10,28,49,147
2022-05-11,24,47,147
2022-05-12,21,26,148
2022-05-13,18,29,148
2022-05-14,21,39,148
2022-05-15,21,36,148
2022-05-16,16,25,148
2022-05-17,22,25,148
2022-05-18,10,16,148
2022-05-19,9,10,148
2022-05-20,15,23,148
2022-05-21,14,49,148
2022-05-22,8,10,148
2022-05-23,14,47,148
2022-05-24,18,27,148
2022-05-25,22,34,148
2022-05-26,15,35,148
2022-05-27,11,20,148
2022-05-28,6,13,148
2022-05-29,16,21,148
2022-05-30,15,22,148
2022-05-31,20,27,148
2022-06-01,13,16,148
2022-06-02,14,21,148
2022-06-03,16,23,149
2022-06-04,20,94,149
2022-06-05,13,25,149
2022-06-06,16,68,151
2022-06-07,23,77,151
2022-06-08,19,49,152
2022-06-09,14,21,152
2022-06-10,26,124,152
2022-06-11,16,67,152
2022-06-12,12,28,152
2022-06-13,17,74,151
2022-06-14,12,48,153
2022-06-15,17,47,153
2022-06-16,20,35,153
2022-06-17,12,21,153
2022-06-18,19,35,154
2022-06-19,13,68,154
2022-06-20,15,39,154
2022-06-21,13,67,154
2022-06-22,13,26,154
2022-06-23,12,17,154
2022-06-24,17,28,154
2022-06-25,14,29,154
2022-06-26,11,20,154
2022-06-27,11,17,154
2022-06-28,18,23,154
2022-06-29,9,14,154
2022-06-30,18,30,154
2022-07-01,19,67,154
2022-07-02,17,30,154
2022-07-03,16,32,154
2022-07-04,15,23,154
2022-07-05,16,28,154
2022-07-06,16,28,154
2022-07-07,17,43,154
2022-07-08,9,20,154
2022-07-09,17,58,157
2022-07-10,16,30,158
2022-07-11,11,25,158
2022-07-12,15,32,158
2022-07-13,17,28,158
2022-07-14,22,37,159
2022-07-15,26,33,160
2022-07-16,17,50,162
2022-07-17,20,106,164
2022-07-18,18,27,164
2022-07-19,18,30,164
2022-07-20,11,14,164
2022-07-21,18,29,164
2022-07-22,18,25,164
2022-07-23,17,25,164
2022-07-24,16,25,164
2022-07-25,14,18,164
2022-07-26,21,29,166
2022-07-27,18,51,166
